"geogid","geog","lat","lon"
"11010061","Bridge Hole, Harrington Sound","32 19.93","-64 44.08"
"11010062","Shark Hole, Harrington Sound","32 20.213","-64 42.391"
"11010063","Abbotts Cliff, Harrington Sound","32 20.34","-64 43.57"
"11010064","Green Bay, Harrington Sound",NULL,NULL
"11010065","Pattons Point, Harrington Sound","32 19.30","-64 43.23"
"11010066","Hangover Hole, South Shore","32 14.90","-64 48.88"
"11010067","Warwick Long Bay, South Shore","32 15.38","-64 48.21"
"11010068","Tabletop",NULL,NULL
"11010069","Two Wreck Reef, South Shore","32 19.12","-64 58.56"
"11010070","Morgan's Point shoreline","32 16.04","-64 51.12"
"11010071","Salt Kettle","32 16.90","-64 47.51"
"11010072","Sandyhole, South Shore","32 14.63","-64 49.77"
"11010073","Walsingham Pond","32 20.08","-64 42.50"
"11010074","Walsingham Sinkhole","32 20.08","-64 42.33"
"11010075","Dockyard-Cruise Ship Pier","32 19.39","-64 49.84"
"11010076","Deep Mooring, South Shore","32 13.90","-64 48.87"
"2","GULF OF MEXICO (Cape Sable to Yucatan Cabo Catoche",NULL,NULL
"21","NORTH (Cape San Blas to Mississippi R.)",NULL,NULL
"2101","West Florida Panhandle",NULL,NULL
"21010001","Timberholes",NULL,NULL
"21010002","Allen Liberty Ship","30 07.835","-87 31.790"
"21010003","Tri-Ledge",NULL,NULL
"21010004","Bridge Rubble","30 20.82","-86 29.63"
"21010005","Pyramids",NULL,NULL
"21010006","Hathaway Bridge Span 2 (Panama City)","30 02.212","-85 43.671"
"21010007","USS Strength (Panama City)","30 01.86","-85 42.66"
"21010008","Black Bart (Panama City)","30 03.64","-85 49.43"
"21010009","Hathaway Bridge Span 14 (Panama City)","30 04.291","-85 48.876"
"21010010","Second Stage (Panama City)",NULL,NULL
"21010011","The Barge (Destin)",NULL,NULL
"21010012","Dog Ballard Artificial Reef","29 57.11","-84 04.82"
"21010013","OAR/Wakulla Drop Zone #1","29 43.69","-84 17.92"
"21010014","Snapper Reef","30 18.00","-86 30.00"
"21010015","North Bull Reef","30 18.00","-86 29.00"
"21010016","St. Andrews SP Jetty (Southside) Panama City",NULL,NULL
"21010017","Bridge Span 1 (Panama City)","30 02.67","-85 43.73"
"21010018","Blackwater Bridge Rubble Site 15G","30 11.50","-87 14.17"
"21010019","Amberjack Ridge (Destin)",NULL,NULL
"21010020","Destin Bridge Rubble","30 20.82","-86 29.63"
"21010021","Russian Freighter","30 11.33","-87 13.09"
"21010022","Navy Bridge (Camel)","30 11.19","-87 14.75"
"21010023","Oops Barge","30 13.233","-87 13.992"
"21010024","Fort Pickens - Jetties","30 19.532","-87 17.455"
"21010025","Navarre Pier","30 22.560","-86 51.780"
"21010026","Artificial Reef 1 (Walton County)","30 15.98","-86 01.58"
"21010027","Miss Louise Tugboat (Destin)","30 22.30","-86 25.29"
"21010028","Frangista Beach Barge (Walton Hopper Barge)","30 19.65","-86 22.88"
"21010029","Mexico Beach Car Body Site","29 53.16","-83 31.99"
"21010030","Three Barges","30 14.47","-87 13.26"
"21010031","Pensacola Beach - Old Pier","30 19.620","-87 08.520"
"21010032","Fort Pickens - Old Pier","30 19.860","-87 17.580"
"21010033","Broken Barge (Panama City)","30 06.33","-85 47.93"
"2102","Dauphin Island/Mobile Bay",NULL,NULL
"21020001","Atlantis",NULL,NULL
"21020002","Army Tank","28 31.7","-82 58.6
"
"21020003","Whiskey Wreck",NULL,NULL
"21020004","Fox",NULL,NULL
"21020005","Air Force Tower",NULL,NULL
"2103","Pascagoula to Mississippi River",NULL,NULL
"22","NORTH EAST (Tampa Bay to Cape San Blas)",NULL,NULL
"2201","Pasco and Hernando Counties",NULL,NULL
"22010001","Pasco County Artificial Reef #2, Army Tanks","29 17.65","-83 01.07"
"22010002","Pasco County Artificial Reef #2, Barge","28 17.53","-83 01.10"
"22010003","Jason Reef (New Port Richey)",NULL,NULL
"22010004","RJ Davis Wreck (New Port Richey)",NULL,NULL
"22010005","Carrabelle 3 Mile Reef","29 45.04","-84 34.67"
"22010006","Denise's Ledge",NULL,NULL
"22010007","Marilyn's Hole",NULL,NULL
"22010008","Eugene's Lobster Rocks",NULL,NULL
"2202","Citrus County",NULL,NULL
"22020001","King Spring (Crystal River)",NULL,NULL
"22020002","Artificial Reef 1C","28 47.49","-83 03.35"
"2203","NW Florida (Levy County to Cape San Blas)",NULL,NULL
"22030001","Marker 24 Barge","29 50.41","-84 09.41"
"23","SOUTH EAST (Cape Sable to Tampa Bay)",NULL,NULL
"2301","Clearwater & Pinellas County",NULL,NULL
"23010001","Little Fish Ledge","27 59.90","-82 55.10"
"23010002","Sue's","28 00.86","-82 59.02"
"23010003","Henry's Ledge",NULL,NULL
"23010004","3 Mile Ledge",NULL,NULL
"23010005","Slipper Ledge",NULL,NULL
"23010006","Mastadon Tabletop","27 54.15","-83 06.47"
"23010007","Clearwater Wreck","27 57.19","-83 07.30"
"23010008","12 Mile Reef, St. Peters.","27 37.62","-83 01.01"
"23010009","Dunedin Reef","28 03.42","-82 54.65"
"23010010","Shotgun Ledge",NULL,NULL
"23010011","Hammerhead",NULL,NULL
"23010012","Big Break (out of St Johns Pass)",NULL,NULL
"23010013","Cable Barge (aka Indian Shores)","27 51.40","-83 01.75"
"23010014","Masthead Ledge","28 03.74","-83 11.44"
"23010015","Cat's Ledge",NULL,NULL
"23010016","Tug Sheridan","27 52.56","-83 11.18"
"23010017","Indian Shores Reef","27 51.24","-83 01.48"
"23010018","Rube Allyn (Pinellas #1)","27 55.60","-83 01.40"
"23010019","Ship's Anchor East",NULL,NULL
"23010020","Cuda Rock","28 09.07","-82 02.58"
"23010021","T and A",NULL,NULL
"23010022","Manifold Ledge",NULL,NULL
"23010023","Blue Angel","28 05.40","-83 00.30"
"23010024","Tappan","28 03.50","-83 00.40"
"23010025","Butches Ledge (8m W of Honeymoon Isl.)",NULL,NULL
"23010026","Aquarium",NULL,NULL
"2302","Manatee County",NULL,NULL
"23020001","1 Mile Reef","27 29.39","-82 44.08"
"23020002","Three mile north reef","27 29.99","-82 47.00"
"23020003","Three mile south reef","27 26.56","-82 44.85"
"23020004","Seven mile north reef","27 32.29","-82 52.70"
"23020005","Seven mile south reef","27 26.59","-82 49.20"
"23020006","Nearshore reef","27 26.99","-82 41.83"
"23020007","Holmes Beach",NULL,NULL
"23020008","Bradenton Beach",NULL,NULL
"2303","Sarasota County",NULL,NULL
"23030001","Snapjew Ledge","27 15.09","-82 45.04"
"23030002","M1","27 19.20","-82 43.20"
"23030003","M7","27 16.25","-82 47.80"
"23030004","M16","27 03.79","-82 35.65"
"23030005","M4","27 15.20","-82 43.30"
"23030006","Nursery","27 14.51","-82 45.18"
"23030007","Triledge","27 14.75","-82 45.07"
"2304","Charlotte County",NULL,NULL
"2305","Lee County",NULL,NULL
"23050001","Edison Artificial Reef","26 18.55","-82 13.33"
"23050002","Doc Kline Artificial Reef","26 20.16","-82 05.35"
"23050003","Blind Pass Pipes","26 29.00","-82 12.03"
"23050004","Belton Johnson Artificial Reef","26 25.32","-82 11.71"
"23050005","School Bus Artificial Reef Culverts","26 36.37","-82 27.22"
"23050006","Arcoa Artificial Reef","26 32.49","-82 25.08"
"23050007","Boxcar Artificial Reef","26 42.22","-82 36.02"
"23050008","Shermans Artificial Reef Culverts","26 32.74","-82 24.62"
"23050009","Charlie's Artificial Reef (Pegasus)","26 33.50","-82 43.13"
"23050010","Redfish Pass Barge #2","26 33.55","-82 14.18"
"23050011","Power Pole Artificial Reef Barge","26 40.96","-82 22.47"
"23050012","Boca Grande, Phosphate Pier","26 43.20","-82 15.33"
"23050013","Bay Ronto","26 45.95","-82 50.81"
"23050014","Mary's Artificial Reef/ Mary's Rubble","26 46.18","-82 18.35"
"23050015","17th Street (Boca Grande)","26 45.70","-82 15.90"
"23050016","West Ledge Area","26 22.50","-82 23.03"
"23050017","ARC Barge","26 24.90","-82 24.69"
"23050018","Bluebird Ledge (Rubble Reef)","26 36.17","-82 28.75"
"23050019","GH Artificial Reef","26 20.74","-81 57.19"
"23050020","New Pass/Estero Bay","26 24.20","-81 53.00"
"23050021","Doc's Barge",NULL,NULL
"23050022","School Bus Pilings 1","26 36.05","-82 28.25"
"23050023","School Bus Pilings 2","26 35.97","-82 28.37"
"23050024","Charlie's Reef Hopper Cars","26 33.37","-82 43.37"
"23050025","ARC Reef Culverts (not barge)","26 24.86","-82 24.81"
"23050026","Boxcar Reef Culverts","26 41.77","-82 35.97"
"23050027","Pinnacles Ledge","26 22.33","-82 24.48"
"23050028","Pace's Place Reef","26 31.06","-82 17.01"
"23050029","Fantastico Wreck","26 17.77","-82 50.08"
"23050030","240 Ledge Area","26 12.86","-82 22.72"
"23050031","Boca Grande Rubble Reef/Lighthouse Reef (ACOE miti","26 44.48","-82 15.99"
"23050032","Line Breaker Reef","26 37.04","-82 26.99"
"2306","Collier County (including Naples)",NULL,NULL
"23060001","Delnor-Wiggin's Pass State Park","26 17.24","-81 50.11"
"2307","West Everglades NP",NULL,NULL
"24","NORTH WEST (Mississippi R. to Texas/Mexico border)",NULL,NULL
"2401","Stetson Bank",NULL,NULL
"24010001","Stetson Bank, Buoy 3","28 10.01","-94 07.82"
"24010002","Stetson Bank, Buoy 2","28 09.58","-94 17.51"
"24010003","Stetson Bank, Buoy 1","28 09.95","-94 17.85"
"2402","Flower Gardens",NULL,NULL
"24020001","West Bank, buoy 5","27 55.30","-93 48.54"
"24020002","East Bank, buoy 7","27 54.54","-93 35.92"
"24020003","East Bank, buoy 6","27 54.40","-93 35.56"
"24020004","East Bank, buoy 2","27 54.32","-93 35.49"
"24020005","West Bank, buoy 4","27 52.29","-93 49.04"
"24020006","East Bank, buoy 4","27 54.33","-93 35.60"
"24020007","West Bank, buoy 1","27 52.35","-93 48.54"
"24020008","West Bank, buoy 2","27 52.31","-93 48.51"
"24020009","West Bank, buoy 3","27 52.28","-93 49.00"
"24020010","East Bank, buoy 1","27 54.36","-93 35.50"
"24020011","East Bank, buoy 3","27 54.27","-93 35.57"
"24020012","East Bank, buoy 5","27 54.592","-93 35.984"
"2403","Sonnier Banks",NULL,NULL
"24030001","Sonnier Banks Buoy, First Peak","28 20.21","-92 27.08"
"24030002","Sonnier Banks, Second Peak","28 20.44","-92 27.08"
"2404","Oil Rigs",NULL,NULL
"24040001","Mobil / High Island 389A","27 57.760","-93 40.266"
"24040002","Rig A-34","28 34.12","-94 53.21"
"24040003","Rig A50-A","28 28.41","-94 45.24"
"24040004","High Island HI-176",NULL,NULL
"24040005","Anadarko HI-376A","27 34.638","-93 24.150"
"24040006","Platform 395-A",NULL,NULL
"24040007","Rig 390",NULL,NULL
"25","Tamaulipas, Mexico",NULL,NULL
"26","Veracruz-llave, Mexico",NULL,NULL
"3","FLORIDA (East Coast and Keys)",NULL,NULL
"11012076","BREAM 2076 Muck Reef",,""
"3101","St. Mary's R. to Cape Canaveral",NULL,NULL
"31010001","Maxine D Ship (Volusia County site 4)","29 19.16","-80 44.54"
"31010002","Argoil Wreck (Volusia County site 1)","29 07.11","-80 41.59"
"31010003","Alexandra McAllister Tugboat (Volusia County site","29 11.62","-80 44.80"
"31010004","Use 33010150 (was Rodeo 25)",NULL,NULL
"31010006","TW site Anna","30 27.81","-80 55.97"
"31010007","Middle Grounds","29 10.55","-80 34.55"
"31010008","Half North Ledge (16 Fathom Ledge)","29 08.62","-80 30.72"
"31010009","Bridge Material (Volusia County Site 5)","29 07.18","-80 48.32"
"31010010","Amberjack Hole","30 32.645","-81 03.055"
"31010011","Acosta Bridge Rubble","30 25.60","-81 08.53"
"31010012","Rio Yuna (Volusia County Site 3)","29 11.71","-80 44.78"
"31010013","1991 concrete culverts (Volusia County Site 7)","29 01.18","-80 41.44"
"31010014","Montgomery's Reef (Jacksonville)",NULL,NULL
"31010015","Atlas Barge (Volusia County Site 3)","29 11.37","-80 45.03"
"31010016","Bunny's Web Sailboat","30 10.44","-81 14.83"
"31010017","Bunnie's Web concrete culverts","30 10.19","-81 14.58"
"31010018","PM site South Tug #1","30 19.81","-81 10.98"
"31010019","Jackson Wreck (JW) site concrete culverts","30 16.74","-81 13.79"
"31010020","East East Fourteen (EEF) site concrete culverts","30 22.55","-80 57.05"
"31010021","HH Barge (Jacksonville)",NULL,NULL
"31010022","1997 concrete culverts (Volusia County Site 2)","29 09.30","-80 40.62"
"31010023","concrete material (Volusia County Site 10)","29 21.48","-80 49.80"
"31010024","Artificial Reef (Volusia County Site 6)","29 03.23","-80 43.20"
"31010025","Coppedge","30 17.33","-80 57.87"
"31010026","Semarca Ship","29 09.15","-80 40.65"
"31010027","Party Grounds Natural Reef","29 10.28","-80 35.39"
"31010028","Volusia County Site 12","29 11.86","-80 46.48"
"31010029","West Party Grounds Natural Reef","29 10.49","-80 35.92"
"11014082","BREAM 4082 Grid Reef","32 26.927","-64 45.791"
"34040037","Indian Key Bridge","24 53.270","-80 40.788"
"3201","Cape Canaveral to Jupiter Inlet",NULL,NULL
"32010001","FPL Reef","27 12.85","-80 02.04"
"32010002","Bathtub Reef (Martin County)","27 11.211","-80 09.563"
"32010003","Donaldson Reef (Stuart)","27 12.37","-80 06.32"
"32010004","Sixty Foot Curve (Ft Pierce)","27 28.00","-80 07.12"
"32010005","Northside Jupiter Inlet","26 56.73","-80 04.46"
"32010006","Esso Bonaire Wreck","26 57.85","-80 00.48"
"32010007","Miss Jenny Barge","26 57.83","-80 00.44"
"32010008","Larry Tug Boat (center tug)","26 58.58","-80 00.97"
"32010009","Curley Tug Boat (north tug)","26 58.62","-80 00.96"
"32010010","Moe Tug Boat (south tug)","26 58.57","-80 00.99"
"33","EAST COAST SOUTH (Jupiter Inlet to Key Biscayne)",NULL,NULL
"3301","Jupiter Inlet to Key Biscayne",NULL,NULL
"33010001","Commercial Pier Reefs/Datura Ave. 1st and 2nd Reef","26 11.23","-80 05.05"
"33010002","Belcher Barge Deep (120') - Miami/Dade A.R.","25 24.78","-80 07.15"
"33010003","MacArthur State Park (Palm Bch County)","26 49.375","-80 02.278"
"33010004","The Cave","26 07.56","-80 05.52"
"33010005","Juno Ledge","26 52.38","-80 00.80"
"33010006","Princess Anne","26 47.60","-80 00.22"
"33010007","Mizpah","26 47.16","-80 00.98"
"33010008","Twin Ledges (Gazebo)","26 30.70","-80 02.01"
"33010009","Breakers Reef (Elevator,4th Window,King Neptune)","26 42.55","-80 00.96"
"33010010","Captain Dan / Capt Dan Garnsey","26 13.86","-80 03.96"
"33010011","Rebel","26 10.25","-80 04.33"
"33010012","Mercedes I (Channel Islands)","26 09.37","-80 04.51"
"33010013","Fisher's Pedestal",NULL,NULL
"33010014","Middle Tenneco Tower","25 58.936","-80 05.126"
"33010015","Deep Freeze","25 49.30","-80 04.95"
"33010016","Biscayne Wreck","25 42.26","-80 05.30"
"33010017","Spirit of Miami","25 41.88","-80 05.22"
"33010018","Lakeland","25 40.02","-80 04.06"
"33010020","Ultra Freeze","25 37.74","-80 05.23"
"33020012","Doc DeMilly Wreck","25 22.06","-80 7.88"
"33010022","Finks' Grouper Hole (Boynton Beach)","26 24.69","-80 03.08"
"33010023","Shark Reef","26 11.61","-80 04.36"
"33010024","Flamingo Reef",NULL,NULL
"33010025","Reformation Reef, South (Jupiter)",NULL,NULL
"33010026","Amaryllis Wreck, West Palm","26 47.30","-80 00.96"
"33010028","High Ledge (Jupiter)","26 55.54","-80 00.43"
"33010029","Dan's Drop-off",NULL,NULL
"33010030","Black Condos (Boynton Beach)","26 32.004","-80 02.282"
"33010031","Lynn's Reef (Boynton Beach)","26 30.07","-80 01.11"
"42010063","West Bay","25 01.38","-77 33.57"
"33010033","Scarface (Jupiter)","26 55","-80 1.1"
"33010034","The Nuns (West Palm Beach)",NULL,NULL
"33010035","Flower Gardens (West Palm Beach)","26 41.83","-80 01.99"
"33010036","Doubletree Reef",NULL,NULL
"33010037","Barefoot Ledge (Pompano Beach)","26 13.000","-80 05.370"
"33010038","Opal Tower/Hillsborough Domes (Pompano Beach)","26 17.56","-80 04.11"
"33010039","Red Reef Rock (Boca Raton)","26 22.00","-80 04.00"
"33010040","Detached Groin (Boca Raton)","26 21.39","-80 04.06"
"33010041","Belzona Barge","25 42.07","-80 05.35"
"33010042","Delray Ledge","26 28.17","-80 02.64"
"33010043","Honeycombs (Boca Raton)","26 21.27","-80 03.34"
"33010044","Long Pine Reef (WPB)",NULL,NULL
"33010045","Delray Snapper Hole","26 29.15","-80 02.38"
"33010046","Dive-A-Rama (WPB)","26 43.00","-80 01.12"
"33010047","Briney Breeze, Boynton Beach","26 30.60","-80 02.06"
"33010048","North Briny Breeze, Boynton Beach","26 30.18","-80 02.12"
"33010049","Cable Crossing (WPB)","26 42.57","-80 01.70"
"33010050","The Trench (WPB)","26 42.31","-80 01.02"
"33010051","Gulf Stream Ledge (Boynton Beach)","26 29.42","-80 02.48"
"33010052","Boynton Ledge","26 30.05","-80 02.19"
"33010053","Seagate (Delray Beach)","26 26.60","-80 02.85"
"33010054","Rybovich Artificial Reef (WPB)","26 45.03","-80 02.59"
"33010055","Playpen/Tri County Reef (WPB)","26 45.78","-80 01.29"
"33010056","Nations Reef (Delray Beach)","26 26.25","-80 03.17"
"33010057","Horseshoe Reef (WPB)","26 36.44","-80 00.52"
"33010059","Blue Heron Bridge (WPB) Phil Foster Park","26 46.957","-80 02.540"
"33010060","Barracuda Reef (Dania)","26 04.09","-80 05.78"
"33010061","Habitat Corridors North (WPB)","26 47.33","-80 00.98"
"33010062","Hillsboro Ledge","26 18.064","-80 04.112"
"33010063","Vista Park First Reef","26 09.78","-80 05.81"
"33010064","Shallow or Second Reef","26 12.207","-80 04.759"
"33010065","Deep or Third Reef (Sunkist)","26 12.196","-80 04.283"
"33010066","Jay Scutti Wreck","26 09.52","-80 04.76"
"33010067","Pompano Ledge","26 13.10","-80 05.01"
"33010068","Anglin Pier Ledge (Pompano Beach)","26 11.292","-80 05.128"
"33010069","Pillar Coral (Pompano Beach)",NULL,NULL
"33010070","San Remo Ledges/Three Kings (Boca Raton)","26 22.86","-80 03.26"
"33010071","Cross Current Reef (WPB)","26 45.69","-80 01.26"
"33010072","Hog Heaven","26 08.05","-80 04.86"
"33010073","Sea Emperor / AquaZoo Wreck (Boca Raton)","26 19.46","-80 03.69"
"33010074","Simpsons/Spearmans Barge (WPB)","26 47.27","-80 00.80"
"33010075","Johnson St. Reef (Hollywood - shore)","26 01.12","-80 06.35"
"33010077","South Jetty (WPB)","26 46.270","-80 01.895
"
"33010078","South Jetty - J. Lloyd State Park (Hollywood)","26 05.545","-80 06.385"
"33010079","Copenhagen Wreck","26 12.349","-80 05.108"
"33010080","Erojacks (John U Lloyd Park)","26 03.72","-80 06.17"
"33010081","Moray Bend (Boca Raton)","26 20.05","-80 03.49"
"33010082","Separated Rocks (Deerfield Beach)","26 18.78","-80 03.98"
"33010083","Boca Raton N. Beach Ledge/Boca Ledges 3rd Reef","26 21.52","-80 03.33"
"33010084","Chalfonte (Boca Raton)","26 20.99","-80 03.38"
"33010085","Turtle Rocks (WPB)",NULL,NULL
"33010086","PEP Reef (WPB)","26 40.72","-80 01.73"
"33010087","Sugar Sands Ledges","26 47.61","-80 02.69"
"33010088","Habitat Corridors South","26 47.24","-80 00.96"
"33010089","John U. Lloyd SP-Canteen","26 04.05","-80 06.05"
"33010090","Larson's Valley (WPB)","26 47.45","-80 00.74"
"33010092","Hammerhead (Dania Beach)","26 03.652","-80 05.173"
"33010093","Jolly Jacks Reef","26 50.24","-80 01.08"
"33010094","RSB Wreck (Pompano)","26 13.642","-80 03.896"
"33010095","Wreck of the Tracey/Ken Vitale Wreck","26 09.56","-80 04.76"
"33010096","Palm Beach Triangle (Eidsvag,Rolls,Philips,Mid Ree","26 46.02","-80 00.74"
"33010097","Marker #3","25 24.54","-80 01.05"
"33010098","Boca Ledge Natural","26 19.68","-80 03.59"
"33010099","Boca Trench/Boca Outfall Trench","26 21.02","-80 03.32"
"33010100","South Mooring Buoys","26 18.33","-80 04.06"
"33010103","Beck Wreck/Captain Tony Wreck","26 28.87","-80 02.35"
"33010104","707 Bridge (Jupiter Island)","26 57.15","-80 04.73"
"33010105","Spotfin Valleys/Reef (Dania)","26 05.88","-80 05.00"
"33010106","Lighthouse Ledge (Hillsboro Beach)","26 16.26","-80 03.85"
"33010107","Razzle Dazzle (Hillsboro Beach)","26 14.93","-80 03.97"
"33010108","Grouper Bend (Hillsboro Beach)","26 13.66","-80 04.17"
"33010109","Jim Atria Wreck","26 09.87","-80 04.22"
"33010110","Crab Cove (Deerfield Beach)","26 18.72","-80 03.58"
"33010111","Qualmann Tugs (general area - art. reef of 5 ships)(Pompano Beach)","26 13.86","-80 04.03"
"33010112","Tom's Reef (Pompano Beach)",NULL,NULL
"33010113","Bath and Tennis Reef (West Palm Beach)","26 40.07","-80 00.24"
"33010114","English Muffin (Delray Beach - north of Seagate)",NULL,NULL
"33010115","Casino Reef (s of Lake Worth)","26 37.20","-80 01.37"
"33010116","Guy Harvey (artificial reef)","26 12.65","-80 03.94"
"33010117","Cracker Jack",NULL,NULL
"33010118","Andys Ledge (Pompano Beach)",NULL,NULL
"33010119","Noula Express","26 19.28","-80 03.45"
"33010120","A1A Old Dixie Hwy Bridge Jupiter","26 57.159","-80 04.747
"
"33010121","Yankee Clipper Ledge (natural reef)","26 06.506","-80 05.849"
"33010122","Ancient Mariner","26 18.12","-80 03.74"
"33010123","The Chimney (Delray Beach)",NULL,NULL
"33010124","Boca Ledge Artificial (Boca Raton)","26 19.67","-80 03.48"
"33010125","Sanctuary (Hillsboro Beach)",NULL,NULL
"33010126","South Double Ledges","26 44.44","-80 00.83"
"33010127","Pier Rubble (Deerfield Beach)",NULL,NULL
"33010128","Patch Reefs (north of Boca Raton Inlet)","26 20.64","-80 03.891"
"33010129","Sunrise Beach","26 08.38","-80 06.05"
"33010130","United Caribbean","26 19.27","-80 03.54"
"33010131","Hawbaker Ledges (1/2 mile south of Johnson St. Ree",NULL,NULL
"33010132","Dubois Park (southside Jupiter Inlet)","26 56.641","-80 04.505"
"33010133","Custer St. (Hollywood)","26 02.651","-80 06.770"
"33010134","Dania Beach Reefs (south of pier)","26 03.160","-80 06.739"
"33010135","SE 12th St, Pompano Beach","26 13.371","-80 05.356"
"33010136","Tear Drop/Ron's Reef (WPB)","26 41.37","-80 01.12"
"33010137","North Cove (WPB)",NULL,NULL
"3302","Biscayne National Park",NULL,NULL
"33020001","Ball Buoy Reef",,
"33020002","The Wall","25 18.33","-80 09.29"
"33020003","Triumph Reef","25 28.33","-80 06.70"
"33020004","Bache Shoals (north end of Elliot Key)","25 29.15","-80 09.94"
"33020005","Pacific Reef","25 22.23","-80 08.55"
"33020006","Patch Reef",NULL,NULL
"33020007","Mandalay Wreck","25 26.53","-80 07.30"
"33020008","Lugano Wreck","25 26.67","-80 07.18"
"33020009","Rocky Reef","25 20.05","-80 09.64"
"33020010","Virginia Reef/Ball Buoy Reef","25 18.92","-80 11.24"
"34","KEYS (Key Largo to Key West, including Fla. Bay)",NULL,NULL
"3403","Key Largo Oceanside (including Tavernier)",NULL,NULL
"34030001","Anchor Chain E6","25 08.617","-80 15.433"
"34030002","South South Ledges E2","25 08.387","-80 15.567"
"34030003","South Ledges/Undersea Highway E3","25 08.449","-80 15.545"
"34030004","Grecian Rocks (buoy 12)","25 06.59","-80 18.25"
"34030005","Key Largo Dry Rocks (Christ Statue)","25 07.35","-80 17.85"
"34030006","Carysfort Reef","25 13.17","-80 12.65"
"34030007","South Carysfort Reef","25 12.63","-80 13.03"
"34030008","French Reef","25 02.12","-80 20.84"
"34030009","Molasses Reef / Logan's Run / Paul's Ledge M9","25 00.551","-80 22.436"
"34030010","Little Grecian Rocks","25 07.14","-80 18.01"
"34030011","Benwood Wreck","25 03.16","-80 20.02"
"34030012","Johnny's Spot (Carysfort Reef)","25 12.81","-80 13.01"
"34030013","Mike's Wreck / Hannah Bell / Seneca E6/7","25 08.673","-80 15.393"
"34030014","City of Washington Wreck (Elbow) E9/10","25 08.76","-80 15.35"
"34030015","Shark's Reef (Catacombs)","25 08.85","-80 17.56"
"34030016","Elbow Ledge/Deep Ball E1","25 08.169","-80 15.559"
"34030017","Train Wheel Wreck E4","25 08.520","-80 15.505"
"34030018","Horseshoe Reef (Key Largo)","25 08.30","-80 18.70"
"34030019","Lost Reef","25 10.16","-80 15.54"
"34030020","North Carysfort - Fishbowl","25 10.24","-80 22.08"
