"","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","SUBREGION_NR","SPECIES_NR","SPECIES_CD","LEN","NUM","TIME_SEEN","MPA_NR","PROT","STRAT","REGION","ZONE_NR","DEPTH_CLASS","RUGOSITY_CLASS","NUM2"
"3294","2012004U",2013,10,5,1,25.974983,-80.0893,20.7,8.7,1768088,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,0
"3319","2012004U",2013,10,5,2,25.974833,-80.089167,20.4,6.1,1768088,"APRD",13,123,"LAC MAXI",20,0.5,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,1
"4022","2012005U",2013,7,31,2,25.76515,-80.087833,19.1,18.3,2073134,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTSH2","SEFCRI",NA,NA,NA,0
"4090","2012005U",2013,7,31,1,25.765067,-80.088267,16.7,18.3,2073133,"APRD",13,123,"LAC MAXI",20,0.5,2,0,0,"PTSH2","SEFCRI",NA,NA,NA,1
"4105","2012005U",2013,7,31,1,25.765067,-80.088267,16.7,18.3,2073133,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTSH2","SEFCRI",NA,NA,NA,0
"4992","2012006U",2013,10,17,1,26.2233,-80.06775,23.6,14.5,1407327,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP1","SEFCRI",NA,NA,NA,0
"5044","2012006U",2013,10,17,2,26.223567,-80.067833,24.8,9.9,1406671,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP1","SEFCRI",NA,NA,NA,0
"5901","2012008U",2013,8,23,1,26.134817,-80.077833,24.4,9.9,1535884,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP1","SEFCRI",NA,NA,NA,0
"5913","2012008U",2013,8,23,2,26.1355,-80.077767,23.2,9.1,1534572,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP1","SEFCRI",NA,NA,NA,0
"6108","2012008U",2013,8,23,2,26.1355,-80.077767,23.2,9.1,1534572,"APRD",13,123,"LAC MAXI",30,0.5,1,0,0,"PTDP1","SEFCRI",NA,NA,NA,1
"6895","2012011U",2013,8,21,1,25.934217,-80.08775,22.9,8.4,1827131,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,0
"6961","2012011U",2013,8,21,2,25.933667,-80.087617,25.1,8.4,1827788,"APRD",13,123,"LAC MAXI",0,0,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,0
"7911","2012012U",2013,9,7,2,25.78155,-80.085983,26.2,12.2,2048865,"APRD",13,123,"LAC MAXI",30,1,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,1
"7915","2012012U",2013,9,7,2,25.78155,-80.085983,26.2,12.2,2048865,"APRD",13,123,"LAC MAXI",25,1,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,1
"8134","2012012U",2013,9,7,1,25.780983,-80.086183,24.1,10.7,2050177,"APRD",13,123,"LAC MAXI",35,0.5,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,1
"8313","2012012U",2013,9,7,1,25.780983,-80.086183,24.1,10.7,2050177,"APRD",13,123,"LAC MAXI",28,0.5,1,0,0,"PTDP0","SEFCRI",NA,NA,NA,1
"9165","2012013U",2013,8,9,2,26.215067,-80.088933,4.4,6.1,1419093,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"9286","2012013U",2013,8,9,1,26.215467,-80.088833,4.9,4.6,1418437,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"10057","2012014U",2013,8,9,2,26.19255,-80.092783,3.5,6.1,1451885,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"10180","2012014U",2013,8,9,1,26.193067,-80.09265,4.3,4.6,1451230,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"11036","2012015H",2013,8,15,2,26.174017,-80.092217,4.6,9.1,1478783,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR1","SEFCRI",NA,NA,NA,0
"11535","2012015U",2013,8,15,1,26.17355,-80.0918,4.6,10.7,1479440,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"12248","2012016U",2013,8,8,1,26.1586,-80.09535,5.2,9.1,1501081,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"12288","2012016U",2013,8,8,2,26.1582,-80.095383,6.3,9.1,1501737,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"13264","2012017U",2013,9,18,2,26.131967,-80.100617,5.5,5.3,1539775,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"13267","2012017U",2013,9,18,1,26.131267,-80.101467,4.1,5.3,1541085,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"13576","2012018H",2013,8,8,2,26.129967,-80.093033,7,9.1,1543070,"LIRI",13,123,"LAC MAXI",0,0,1,0,0,"INNR0","SEFCRI",NA,NA,NA,0
"13982","2012018U",2013,8,8,1,26.129917,-80.093533,5.8,12.2,1543069,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"14639","2012019U",2013,9,18,2,26.124683,-80.1015,3.5,6.9,1550269,"CPSH",13,123,"LAC MAXI",12,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"14761","2012019U",2013,9,18,2,26.124683,-80.1015,3.5,6.9,1550269,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"14805","2012019U",2013,9,18,1,26.125333,-80.101017,4.3,7.6,1549614,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"15345","2012020U",2013,9,18,2,26.11935,-80.102117,4.3,7.6,1558140,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"15454","2012020U",2013,9,18,1,26.118617,-80.102267,4.3,6.1,1559452,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"16322","2012021U",2013,8,8,1,26.112067,-80.098833,6.7,12.2,1568643,"PTCH",13,123,"LAC MAXI",0,0,1,0,0,"PTSH2","SEFCRI",NA,NA,NA,0
"16711","2012022U",2013,9,18,2,26.104133,-80.103183,3.7,7.6,1580442,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"16871","2012022U",2013,9,18,1,26.104133,-80.103183,3.7,6.1,1580442,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"17442","2012023U",2013,8,7,1,26.078417,-80.102433,5.6,12.2,1617836,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"17606","2012023U",2013,8,7,2,26.078417,-80.102967,5.6,11.4,1617835,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"18389","2012024U",2013,7,13,2,26.075917,-80.102867,6.1,7.6,1621771,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"18783","2012024U",2013,7,13,1,26.075817,-80.102467,6.3,12.2,1621772,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"19704","2012025U",2013,7,13,2,26.06365,-80.107083,4.9,8.4,1639475,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"19911","2012025U",2013,7,13,1,26.063583,-80.106633,5.8,12.2,1639476,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"20422","2012026U",2013,7,18,1,26.020617,-80.1127,2.8,11.2,1701784,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"21217","2012027U",2013,7,18,1,26.0206,-80.1119,4.6,12.2,1701786,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"21280","2012027U",2013,7,18,2,26.020517,-80.112283,3.4,5.3,1701785,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"22071","2012028U",2013,7,18,2,26.013517,-80.111367,5.8,7.6,1712283,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"22138","2012028U",2013,7,18,1,26.0139,-80.11155,5.9,9.1,1711627,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"22679","2012029U",2013,7,18,2,26.005367,-80.112,4.6,9.1,1724090,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"22759","2012029U",2013,7,18,1,26.00445,-80.11175,5.2,9.1,1725402,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"23365","2012030U",2013,9,4,2,25.997517,-80.104467,9,7.6,1735257,"CPSH",13,123,"LAC MAXI",20,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"23446","2012030U",2013,9,4,2,25.997517,-80.104467,9,7.6,1735257,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"23528","2012030U",2013,9,4,1,25.997967,-80.103933,8.5,8.4,1734602,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"23689","2012030U",2013,9,4,2,25.997517,-80.104467,9,7.6,1735257,"CPSH",13,123,"LAC MAXI",18,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"24219","2012031U",2013,9,4,2,25.988783,-80.11255,6.6,6.1,1748361,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"24297","2012031U",2013,9,4,1,25.98905,-80.111933,6.7,4.6,1747706,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"25151","2012032U",2013,9,4,2,25.98515,-80.11355,6.3,9.9,1753607,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"25231","2012032U",2013,9,4,2,25.98515,-80.11355,6.3,9.9,1753607,"CPSH",13,123,"LAC MAXI",14,0.5,2,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"25352","2012032U",2013,9,4,1,25.9856,-80.113133,5.9,5.3,1752952,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"25880","2012033U",2013,10,8,2,25.9804,-80.11365,6.4,6.1,1760167,"CPSH",13,123,"LAC MAXI",26,0.5,2,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"25881","2012033U",2013,10,8,1,25.9795,-80.1146,6.1,5.3,1761477,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"26042","2012033U",2013,10,8,2,25.9804,-80.11365,6.4,6.1,1760167,"CPSH",13,123,"LAC MAXI",20,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"26749","2012034U",2013,10,8,2,25.97765,-80.115833,5.2,4.6,1764099,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"26775","2012034U",2013,10,8,1,25.97825,-80.116117,5.3,3.8,1763442,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"27997","2012035U",2013,9,11,1,25.975967,-80.107767,8.4,4.6,1766739,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"28075","2012035U",2013,9,11,2,25.976283,-80.107467,9.8,6.1,1766083,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"28592","2012036U",2013,9,26,1,25.9724,-80.1098,5.6,5.1,1771983,"RGSH",13,123,"LAC MAXI",33,0.333,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"28604","2012036U",2013,9,26,1,25.9724,-80.1098,5.6,5.1,1771983,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"29052","2012037U",2013,9,26,1,25.970183,-80.109267,5.4,5.1,1775264,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"29416","2012038U",2013,9,26,1,25.968433,-80.1083,8.1,7.6,1777890,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"29819","2012039U",2013,10,5,1,25.956633,-80.106517,8.8,7.3,1794950,"CPSH",13,123,"LAC MAXI",22,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"29847","2012039U",2013,10,5,1,25.956633,-80.106517,8.8,7.3,1794950,"CPSH",13,123,"LAC MAXI",17,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"29902","2012039U",2013,10,5,1,25.956633,-80.106517,8.8,7.3,1794950,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"29944","2012039U",2013,10,5,2,25.957033,-80.1069,9,6.1,1794293,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"30319","2012039U",2013,10,5,2,25.957033,-80.1069,9,6.1,1794293,"CPSH",13,123,"LAC MAXI",8,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"31009","2012040U",2013,10,10,2,25.9471,-80.108817,4.7,6.1,1808721,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"31045","2012040U",2013,10,10,1,25.9473,-80.108583,4.9,6.4,1808066,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"31087","2012040U",2013,10,10,1,25.9473,-80.108583,4.9,6.4,1808066,"RGSH",13,123,"LAC MAXI",15,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"31172","2012040U",2013,10,10,2,25.9471,-80.108817,4.7,6.1,1808721,"RGSH",13,123,"LAC MAXI",30,0.5,2,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"31723","2012041U",2013,10,8,2,25.945733,-80.104817,9.9,9.1,1810697,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"31748","2012041U",2013,10,8,1,25.945333,-80.105983,10.2,6.1,1811351,"CPSH",13,123,"LAC MAXI",20,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"31944","2012041U",2013,10,8,1,25.945333,-80.105983,10.2,6.1,1811351,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"32400","2012042U",2013,10,8,2,25.943583,-80.104717,11.1,9.1,1813977,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"32574","2012042U",2013,10,8,1,25.944267,-80.1062,10.5,5.3,1812662,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"33239","2012043U",2013,8,22,1,25.94005,-80.107417,7.8,4.6,1819220,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"33293","2012043U",2013,8,22,2,25.939967,-80.107833,7.8,9.1,1819219,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"33537","2012043U",2013,8,22,2,25.939967,-80.107833,7.8,9.1,1819219,"RGSH",13,123,"LAC MAXI",23,0.5,2,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"34236","2012044U",2013,8,22,1,25.93135,-80.109933,5.8,5.3,1831679,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"34430","2012044U",2013,8,22,2,25.931417,-80.1094,5.8,9.1,1831680,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"35088","2012045U",2013,8,21,1,25.922483,-80.108467,5.6,5.3,1844146,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"35283","2012045U",2013,8,21,2,25.9216,-80.109,5.8,6.1,1845457,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"35321","2012045U",2013,8,21,2,25.9216,-80.109,5.8,6.1,1845457,"RGSH",13,123,"LAC MAXI",21,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"35976","2012046U",2013,8,22,2,25.919567,-80.1111,6.9,8.4,1848733,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"35982","2012046U",2013,8,22,1,25.919767,-80.110617,7,6.9,1848078,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"36870","2012047U",2013,8,21,1,25.91635,-80.112117,5.9,4.6,1853323,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"36940","2012047U",2013,8,21,2,25.917083,-80.11145,6.9,6.9,1852012,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"38162","2012048U",2013,8,21,1,25.903267,-80.1062,7.6,6.1,1872359,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"38203","2012048U",2013,8,21,1,25.903267,-80.1062,7.6,6.1,1872359,"RGSH",13,123,"LAC MAXI",20,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"38245","2012048U",2013,8,21,2,25.9027,-80.1062,7.2,5.3,1873015,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"38974","2012049U",2013,8,21,2,25.902217,-80.103883,10.1,7.6,1873676,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"39055","2012049U",2013,8,21,1,25.90195,-80.1044,10.1,6.9,1874331,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"39865","2012050U",2013,7,16,2,25.886167,-80.104333,9.1,7.6,1897291,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"39866","2012050U",2013,7,16,1,25.885717,-80.104383,9.1,9.1,1897947,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"40472","2012051U",2013,7,20,2,25.868833,-80.10605,7.3,7.6,1922216,"RGSH",13,123,"LAC MAXI",28,1,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"40593","2012051U",2013,7,20,2,25.868833,-80.10605,7.3,7.6,1922216,"RGSH",13,123,"LAC MAXI",24,1,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"40755","2012051U",2013,7,20,1,25.8686,-80.10655,6.7,7.6,1922871,"RGSH",13,123,"LAC MAXI",30,1,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"41406","2012052U",2013,9,7,2,25.86615,-80.1084,5.2,6.1,1926147,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"41447","2012052U",2013,9,7,1,25.866267,-80.10795,6.1,7.6,1926148,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"42299","2012053U",2013,9,28,1,25.829517,-80.1082,6.7,6.1,1979284,"RGSH",13,123,"LAC MAXI",28,0,3,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"42540","2012053U",2013,9,28,2,25.8295,-80.10795,7,4.6,1979285,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"43107","2012054U",2013,9,28,2,25.821933,-80.1125,5.8,3.1,1990428,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"43310","2012054U",2013,9,28,1,25.821917,-80.112883,5.2,4.6,1990427,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"43880","2012055U",2013,9,24,1,25.818333,-80.1043,7,7.6,1995692,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"43921","2012055U",2013,9,24,2,25.818317,-80.10485,7.2,7.6,1995691,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"44731","2012056U",2013,8,2,1,25.798067,-80.106967,6.3,13.7,2025207,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"44773","2012056U",2013,8,13,2,25.798533,-80.106467,6.4,10.7,2024552,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"45480","2012057U",2013,7,27,2,25.785617,-80.1202,5.2,7.6,2043549,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"45512","2012057U",2013,7,27,1,25.785967,-80.12005,5.2,7.6,2042893,"RGSH",13,123,"LAC MAXI",23,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"45785","2012057U",2013,7,27,1,25.785967,-80.12005,5.2,7.6,2042893,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"46484","2012058U",2013,7,27,1,25.786017,-80.118633,5.3,8.1,2042896,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"46533","2012058U",2013,7,27,1,25.786017,-80.118633,5.3,8.1,2042896,"RGSH",13,123,"LAC MAXI",21,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"46639","2012058U",2013,7,27,2,25.785533,-80.118717,5,8.4,2043552,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"47536","2012059U",2013,7,31,2,25.784617,-80.109733,8.1,18.3,2044882,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"47577","2012059U",2013,7,31,1,25.7851,-80.10965,7.8,18.3,2044226,"CPSH",13,123,"LAC MAXI",21,0,3,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"47696","2012059U",2013,7,31,1,25.7851,-80.10965,7.8,18.3,2044226,"CPSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"48398","2012060U",2013,7,24,2,25.780867,-80.10015,9.3,10.7,2050149,"RGSH",13,123,"LAC MAXI",30,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"48405","2012060U",2013,7,24,2,25.780867,-80.10015,9.3,10.7,2050149,"RGSH",13,123,"LAC MAXI",28,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"48415","2012060U",2013,7,24,1,25.78135,-80.10015,9.3,9.9,2049493,"RGSH",13,123,"LAC MAXI",28,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"48447","2012060U",2013,7,24,2,25.780867,-80.10015,9.3,10.7,2050149,"RGSH",13,123,"LAC MAXI",26,0.5,2,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"48468","2012060U",2013,7,24,1,25.78135,-80.10015,9.3,9.9,2049493,"RGSH",13,123,"LAC MAXI",18,0.5,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,1
"49413","2012061U",2013,8,2,1,25.7798,-80.1209,6.9,10.7,2052075,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"49829","2012062U",2013,7,24,2,25.77675,-80.100683,8.5,9.9,2056052,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
"49833","2012062U",2013,7,24,1,25.776333,-80.1007,8.5,9.9,2056708,"RGSH",13,123,"LAC MAXI",0,0,1,0,0,"NEAR0","SEFCRI",NA,NA,NA,0
