"","formid","speciesid","abundance","X","id","fish_memberid","region","site","familyid","timecode","site4","site1","comments","batch","memberid","exp","type","geogr","geogr4","geogr1","latitude","longitude","date","stemp","btemp","btime","start","visibility","averagedepth","maxdepth","current","habitat","year","month","day","occ","exp_binary","abundance2","abund_trans","site_dmy","habitat2"
"9",2046,130,0,"1041388",1041398,27,"TWA",34040003,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040003,3404,3,24.9237,-80.5057,"1994-02-08",73,0,35,11,3,"4","NULL",2,2,1994,2,8,0,0,1,0,"baseline","highreef"
"10",2047,130,0,"1041515",1041525,27,"TWA",34040004,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9497,-80.4532,"1994-03-14",73,0,40,9,4,"8","NULL",1,1,1994,3,14,0,0,1,0,"340400041431994","mixed"
"11",2048,130,0,"1041540",1041550,27,"TWA",34040004,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9497,-80.4532,"1994-03-14",73,0,45,10,4,"5","NULL",2,2,1994,3,14,0,0,1,0,"340400041431994","highreef"
"12",2049,130,0,"1041559",1041569,27,"TWA",34040004,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9497,-80.4532,"1994-03-15",73,0,40,10,4,"7","NULL",2,1,1994,3,15,0,0,1,0,"baseline","mixed"
"934446",2050,130,2,"1040247",1040257,27,"TWA",34030009,38,0,3403,3,"NULL","oind9603.dat",27,"N",1,34030009,3403,3,25.009,-80.3737,"1994-04-02",74,0,50,10,5,"4","NULL",2,2,1994,4,2,1,0,3,2,"baseline","highreef"
"13",2052,130,0,"153997",153997,27,"TWA",34040004,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9467,-80.4563,"1994-04-18",76,0,60,12,4,"8","NULL",2,1,1994,4,18,0,0,1,0,"baseline","mixed"
"14",2053,130,0,"154039",154039,27,"TWA",34040004,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9467,-80.4568,"1994-04-22",76,0,46,13,4,"8","NULL",2,1,1994,4,22,0,0,1,0,"baseline","mixed"
"15",2054,130,0,"153910",153910,27,"TWA",34040003,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040003,3404,3,24.9222,-80.5062,"1994-04-22",76,0,55,14,4,"4","NULL",1,1,1994,4,22,0,0,1,0,"baseline","mixed"
"16",2055,130,0,"153871",153871,27,"TWA",34040001,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040001,3404,3,24.9857,-80.4153,"1994-04-26",0,0,60,10,5,"4","NULL",1,1,1994,4,26,0,0,1,0,"baseline","mixed"
"143203",2056,130,2,"154441",154441,27,"TWA",34040006,38,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040006,3404,3,24.9353,-80.5488,"1994-05-09",0,0,40,13,3,"3","NULL",1,1,1994,5,9,1,0,3,2,"baseline","mixed"
"17",2057,130,0,"154100",154100,27,"TWA",34040004,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9565,-80.457,"1994-05-10",0,0,50,11,4,"3","NULL",1,1,1994,5,10,0,0,1,0,"340400041051994","mixed"
"142850",2058,130,1,"154088",154088,27,"TWA",34040004,38,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9465,-80.4565,"1994-05-10",0,0,25,10,3,"7","NULL",2,1,1994,5,10,1,0,2,1,"340400041051994","mixed"
"18",2059,130,0,"154559",154559,27,"TWA",34040009,53,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040009,3404,3,24.9042,-80.5263,"1994-05-22",0,0,45,13,4,"6","NULL",2,3,1994,5,22,0,0,1,0,"baseline","lowreef"
"142980",2060,130,2,"154218",154218,27,"TWA",34040004,38,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9467,-80.454,"1994-05-30",0,0,55,14,5,"3","NULL",2,2,1994,5,30,1,0,3,2,"340400043051994","highreef"
"142948",2061,130,1,"154186",154186,27,"TWA",34040004,38,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040004,3404,3,24.9463,-80.4552,"1994-05-30",0,0,35,12,4,"9","NULL",2,1,1994,5,30,1,0,2,1,"340400043051994","mixed"
"935840",2062,130,2,"1041650",1041660,27,"TWA",34040004,38,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9465,-80.4568,"1994-04-04",72,0,40,9,4,"8","NULL",2,3,1994,4,4,1,0,3,2,"34040004441994","lowreef"
"935878",2063,130,2,"1041688",1041698,27,"TWA",34040004,38,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.9567,-80.4572,"1994-04-04",73,0,55,11,4,"4","NULL",1,2,1994,4,4,1,0,3,2,"34040004441994","highreef"
"141800",2064,130,1,"153038",153038,27,"TWA",34030009,38,0,3403,3,"NULL","oind9608.dat",27,"N",1,34030009,3403,3,25.0095,-80.3753,"1994-11-07",85,81,55,13,4,"4","NULL",2,1,1994,11,7,1,0,2,1,"baseline","mixed"
"143307",2065,130,1,"154545",154545,27,"TWA",34040007,38,0,3404,3,"NULL","oind9608.dat",27,"N",1,34040007,3404,3,24.8795,-80.904,"1994-11-10",85,81,22,11,5,"10","NULL",2,9,1994,11,10,1,0,2,1,"baseline","mixed"
"19",2068,130,0,"1040336",1040346,27,"TWA",34030011,53,0,3403,3,"NULL","oind9603.dat",27,"N",1,34030011,3403,3,25.0528,-80.3327,"1994-04-05",73,0,50,12,4,"4","NULL",2,9,1994,4,5,0,0,1,0,"baseline","mixed"
"935516",2072,130,2,"1041326",1041336,27,"TWA",34030026,38,0,3403,3,"NULL","oind9603.dat",27,"N",1,34030026,3403,3,25.9903,-80.3817,"1994-04-05",72,0,30,10,3,"10","NULL",2,9,1994,4,5,1,0,3,2,"baseline","mixed"
"935626",2074,130,2,"1041436",1041446,27,"TWA",34040003,38,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040003,3404,3,24.9237,-80.5057,"1994-03-17",73,0,50,15,4,"4","NULL",2,1,1994,3,17,1,0,3,2,"baseline","mixed"
"388721",2075,130,2,"424882",424884,27,"TWA",34080018,38,0,3408,3,"NULL","oind9609.dat",27,"N",1,34080018,3408,3,24.4443,-81.9305,"1994-05-08",0,0,50,11,4,"5","NULL",2,2,1994,5,8,1,0,3,2,"baseline","highreef"
"934956",2085,130,1,"1040757",1040767,52,"TWA",34030013,38,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030013,3403,3,0,0,"1994-02-07",0,78,60,15,2,"3","NULL",1,1,1994,2,7,1,1,2,1,"baseline","mixed"
"21",2086,130,0,"1040287",1040297,52,"TWA",34030011,53,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030011,3403,3,0,0,"1994-02-09",0,76,45,10,3,"4","NULL",2,9,1994,2,9,0,1,1,0,"baseline","mixed"
"22",2087,130,0,"1039727",1039737,52,"TWA",34030003,53,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030003,3403,3,0,0,"1994-02-23",0,74,40,9,3,"3","NULL",1,1,1994,2,23,0,1,1,0,"baseline","mixed"
"23",2088,130,0,"1040787",1040797,52,"TWA",34030013,53,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030013,3403,3,0,0,"1994-02-23",0,74,40,11,3,"3","NULL",1,1,1994,2,23,0,1,1,0,"baseline","mixed"
"778574",2089,130,1,"867709",867717,52,"TWA",34030005,38,0,3403,3,"NULL","klar9406.dat",52,"E",1,34030005,3403,3,0,0,"1994-06-07",81,81,100,16,3,"3","NULL",1,1,1994,6,7,1,1,2,1,"34030005761994","mixed"
"777992",2092,130,1,"867029",867037,52,"TWA",34030004,38,0,3403,3,"NULL","klar9406.dat",52,"E",1,34030004,3403,3,0,0,"1994-06-07",81,81,85,14,3,"3","NULL",1,1,1994,6,7,1,1,2,1,"34030004761994","mixed"
"303900",2093,130,1,"330474",330475,52,"TWA",34030008,38,0,3403,3,"NULL","dind9607.dat",52,"E",1,34030008,3403,3,0,0,"1994-06-20",81,81,35,13,3,"3","NULL",1,1,1994,6,20,1,1,2,1,"baseline","mixed"
"305399",2094,130,1,"331973",331974,52,"TWA",34030023,38,0,3403,3,"NULL","dind9607.dat",52,"E",1,34030023,3403,3,0,0,"1994-06-17",81,81,65,14,3,"3","NULL",1,1,1994,6,17,1,1,2,1,"baseline","mixed"
"25",2095,130,0,"330112",330113,52,"TWA",34030005,53,0,3403,3,"NULL","dind9607.dat",52,"E",1,34030005,3403,3,0,0,"1994-06-17",81,81,85,16,3,"3","NULL",1,1,1994,6,17,0,1,1,0,"baseline","mixed"
"26",2096,130,0,"330934",330935,52,"TWA",34030009,53,0,3403,3,"NULL","dind9607.dat",52,"E",1,34030009,3403,3,0,0,"1994-07-11",84,84,85,11,4,"3","NULL",2,1,1994,7,11,0,1,1,0,"340300091171994","mixed"
"935365",2098,130,1,"1041166",1041176,52,"TWA",34030014,38,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030014,3403,3,0,0,"1994-04-18",0,79,60,11,3,"3","NULL",1,2,1994,4,18,1,1,2,1,"baseline","highreef"
"27",2099,130,0,"1039763",1039773,52,"TWA",34030003,53,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030003,3403,3,0,0,"1994-04-18",0,79,60,11,3,"3","NULL",2,1,1994,4,18,0,1,1,0,"baseline","mixed"
"935055",2100,130,1,"1040856",1040866,52,"TWA",34030013,38,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030013,3403,3,0,0,"1994-04-18",0,79,50,10,3,"3","NULL",2,1,1994,4,18,1,1,2,1,"baseline","mixed"
"933900",2101,130,1,"1039701",1039711,52,"TWA",34030003,38,0,3403,3,"NULL","oind9603.dat",52,"E",1,34030003,3403,3,0,0,"1994-02-07",0,76,55,14,3,"3","NULL",2,1,1994,2,7,1,1,2,1,"baseline","mixed"
"28",2405,130,0,"424799",424801,7,"TWA",34100015,53,0,3410,3,"NULL","oind9609.dat",7,"E",1,34100015,3410,3,24.6262,-2.9353,"1994-06-08",84,84,50,9,2,"2","NULL",2,9,1994,6,8,0,1,1,0,"baseline","mixed"
"30",2567,130,0,"1041592",1041602,27,"TWA",34040004,53,0,3404,3,"NULL","oind9603.dat",27,"N",1,34040004,3404,3,24.952,-80.4595,"1994-03-16",73,0,60,11,4,"4","NULL",1,2,1994,3,16,0,0,1,0,"baseline","highreef"
"304325",2570,130,1,"330899",330900,52,"TWA",34030009,38,0,3403,3,"NULL","dind9607.dat",52,"E",1,34030009,3403,3,0,0,"1994-07-11",84,84,65,10,4,"3","NULL",2,1,1994,7,11,1,1,2,1,"340300091171994","mixed"
"386348",2980,130,1,"422283",422285,3346,"TWA",34030015,38,0,3403,3,"NULL","oind9609.dat",3346,"N",1,34030015,3403,3,0,0,"1995-04-10",79,79,71,12,3,"3","NULL",1,1,1995,4,10,1,0,2,1,"baseline","mixed"
"384638",2990,130,2,"420458",420460,3346,"TWA",34030005,38,0,3403,3,"NULL","oind9609.dat",3346,"N",1,34030005,3403,3,0,0,"1995-04-10",79,79,68,10,3,"3","NULL",1,1,1995,4,10,1,0,3,2,"baseline","mixed"
"381733",4133,130,1,"417361",417363,2482,"TWA",33010000,38,0,3301,3,"NULL","oind9609.dat",2482,"N",1,33010000,3301,3,0,0,"1995-05-20",0,0,45,15,0,"0","NULL",2,2,1995,5,20,1,0,2,1,"baseline","highreef"
"387539",6378,130,2,"423563",423565,14,"TWA",34030032,38,0,3403,3,"NULL","oind9609.dat",14,"N",1,34030032,3403,3,0,0,"1994-06-05",0,0,60,10,3,"2","NULL",2,1,1994,6,5,1,0,3,2,"baseline","mixed"
"37",6522,130,0,"423266",423268,14,"TWA",34030031,53,0,3403,3,"NULL","oind9609.dat",14,"N",1,34030031,3403,3,0,0,"1994-06-18",0,0,65,10,3,"2","NULL",2,1,1994,6,18,0,0,1,0,"baseline","mixed"
"141427",6524,130,1,"152665",152665,14,"TWA",34030008,38,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030008,3403,3,0,0,"1995-06-10",83,0,64,15,3,"2","NULL",1,1,1995,6,10,1,0,2,1,"baseline","mixed"
"38",6525,130,0,"153057",153057,14,"TWA",34030009,53,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030009,3403,3,0,0,"1995-06-17",0,0,64,15,3,"3","NULL",2,1,1995,6,17,0,0,1,0,"baseline","mixed"
"141968",6526,130,2,"153206",153206,14,"TWA",34030011,38,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030011,3403,3,0,0,"1995-06-17",0,0,67,16,3,"4","NULL",2,9,1995,6,17,1,0,3,2,"baseline","mixed"
"387593",6527,130,2,"423617",423619,14,"TWA",34030032,38,0,3403,3,"NULL","oind9609.dat",14,"N",1,34030032,3403,3,0,0,"1995-07-01",0,0,64,11,3,"3","NULL",2,1,1995,7,1,1,0,3,2,"baseline","mixed"
"142400",6528,130,2,"153638",153638,14,"TWA",34030023,38,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030023,3403,3,0,0,"1995-07-01",0,0,64,10,3,"3","NULL",2,1,1995,7,1,1,0,3,2,"baseline","mixed"
"40",6561,130,0,"864041",864049,530,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",530,"N",1,34030001,3403,3,0,0,"1994-06-06",90,85,67,14,4,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"777457",6562,130,2,"866494",866502,530,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",530,"N",1,34030003,3403,3,0,0,"1994-06-06",90,85,79,16,4,"4","NULL",2,1,1994,6,6,1,0,3,2,"34030003661994","mixed"
"777614",6563,130,2,"866651",866659,3346,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",3346,"N",1,34030003,3403,3,0,0,"1994-06-06",80,80,81,16,4,"2","NULL",2,1,1994,6,6,1,0,3,2,"34030003661994","mixed"
"775397",6564,130,2,"864205",864213,3346,"TWA",34030001,38,0,3403,3,"NULL","klar9406.dat",3346,"N",1,34030001,3403,3,0,0,"1994-06-06",80,80,73,14,4,"3","NULL",2,1,1994,6,6,1,0,3,2,"34030001661994","mixed"
"41",6565,130,0,"864113",864121,2728,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",2728,"N",1,34030001,3403,3,0,0,"1994-06-06",81,80,45,14,4,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"42",6566,130,0,"866546",866554,2728,"TWA",34030003,53,0,3403,3,"NULL","klar9406.dat",2728,"N",1,34030003,3403,3,0,0,"1994-06-06",80,80,72,16,5,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030003661994","mixed"
"43",6567,130,0,"864121",864129,3099,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",3099,"N",1,34030001,3403,3,0,0,"1994-06-06",80,80,74,14,6,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"777550",6568,130,1,"866587",866595,3099,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",3099,"N",1,34030003,3403,3,0,0,"1994-06-06",80,80,82,16,6,"3","NULL",2,1,1994,6,6,1,0,2,1,"34030003661994","mixed"
"777819",6570,130,2,"866856",866864,3611,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",3611,"N",1,34030003,3403,3,0,0,"1994-06-06",90,85,79,16,5,"3","NULL",1,1,1994,6,6,1,0,3,2,"34030003661994","mixed"
"44",6571,130,0,"864412",864420,3611,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",3611,"N",1,34030001,3403,3,0,0,"1994-06-06",90,60,67,14,5,"3","NULL",1,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"45",6572,130,0,"864353",864361,3610,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",3610,"N",1,34030001,3403,3,0,0,"1994-06-06",90,60,67,14,4,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"46",6573,130,0,"866803",866811,3610,"TWA",34030003,53,0,3403,3,"NULL","klar9406.dat",3610,"N",1,34030003,3403,3,0,0,"1994-06-06",90,85,79,16,4,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030003661994","mixed"
"47",6574,130,0,"864324",864332,3609,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",3609,"N",1,34030001,3403,3,0,0,"1994-06-06",81,82,70,14,4,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"777751",6575,130,1,"866788",866796,3609,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",3609,"N",1,34030003,3403,3,0,0,"1994-06-06",81,82,75,16,4,"3","NULL",2,1,1994,6,6,1,0,2,1,"34030003661994","mixed"
"777710",6576,130,1,"866747",866755,3608,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",3608,"N",1,34030003,3403,3,0,0,"1994-06-06",90,85,75,16,3,"2","NULL",2,1,1994,6,6,1,0,2,1,"34030003661994","mixed"
"48",6577,130,0,"864278",864286,3608,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",3608,"N",1,34030001,3403,3,0,0,"1994-06-06",90,60,75,14,4,"3","NULL",1,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"49",6578,130,0,"864241",864249,3607,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",3607,"N",1,34030001,3403,3,0,0,"1994-06-06",81,82,75,14,3,"3","NULL",1,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"50",6579,130,0,"866684",866692,3607,"TWA",34030003,53,0,3403,3,"NULL","klar9406.dat",3607,"N",1,34030003,3403,3,0,0,"1994-06-06",81,82,75,16,3,"2","NULL",2,1,1994,6,6,0,0,1,0,"34030003661994","mixed"
"51",6580,130,0,"864079",864087,2675,"TWA",34030001,53,0,3403,3,"NULL","klar9406.dat",2675,"N",1,34030001,3403,3,0,0,"1994-06-06",81,81,70,14,4,"3","NULL",2,1,1994,6,6,0,0,1,0,"34030001661994","mixed"
"775056",6584,130,1,"863864",863872,3,"TWA",34030001,38,0,3403,3,"NULL","klar9406.dat",3,"E",1,34030001,3403,3,0,0,"1994-06-06",82,82,75,14,3,"3","NULL",1,1,1994,6,6,1,1,2,1,"34030001661994","mixed"
"777329",6585,130,1,"866366",866374,9,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",9,"E",1,34030003,3403,3,0,0,"1994-06-06",81,81,75,16,3,"3","NULL",2,1,1994,6,6,1,1,2,1,"34030003661994","mixed"
"775195",6586,130,1,"864003",864011,52,"TWA",34030001,38,0,3403,3,"NULL","klar9406.dat",52,"E",1,34030001,3403,3,0,0,"1994-06-06",81,81,80,14,3,"3","NULL",1,1,1994,6,6,1,1,2,1,"34030001661994","mixed"
"777262",6587,130,2,"866299",866307,3,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",3,"E",1,34030003,3403,3,0,0,"1994-06-06",82,82,85,16,3,"3","NULL",1,1,1994,6,6,1,1,3,2,"34030003661994","mixed"
"775126",6588,130,1,"863934",863942,9,"TWA",34030001,38,0,3403,3,"NULL","klar9406.dat",9,"E",1,34030001,3403,3,0,0,"1994-06-06",80,81,78,14,3,"3","NULL",2,1,1994,6,6,1,1,2,1,"34030001661994","mixed"
"777400",6589,130,1,"866437",866445,52,"TWA",34030003,38,0,3403,3,"NULL","klar9406.dat",52,"E",1,34030003,3403,3,0,0,"1994-06-06",81,81,90,16,3,"3","NULL",1,1,1994,6,6,1,1,2,1,"34030003661994","mixed"
"940069",8357,130,1,"1048798",1048808,4034,"TWA",34040002,38,0,3404,3,"NULL","isla9408.dat",4034,"N",1,34040002,3404,3,24.85,-80.6258,"1994-08-01",85,84,68,16,3,"3","NULL",1,2,1994,8,1,1,0,2,1,"34040002181994","highreef"
"304253",8553,130,1,"330827",330828,52,"TWA",34030009,38,0,3403,3,"NULL","dind9607.dat",52,"E",1,34030009,3403,3,0,0,"1994-06-20",81,81,55,15,3,"3","NULL",3,1,1994,6,20,1,1,2,1,"baseline","mixed"
"254412",11062,130,2,"277674",277675,3611,"TWA",34030006,38,0,3403,3,"NULL","oind9707.dat",3611,"E",1,34030006,3403,3,0,0,"1994-10-20",0,0,63,15,4,"6","NULL",2,1,1994,10,20,1,1,3,2,"3403000620101994","mixed"
"386989",11348,130,2,"422924",422926,4030,"TWA",34030023,38,0,3403,3,"NULL","oind9609.dat",4030,"N",1,34030023,3403,3,0,0,"1995-01-01",72,72,66,11,3,"4","NULL",2,1,1995,1,1,1,0,3,2,"34030023111995","mixed"
"57",11359,130,0,"417672",417674,4034,"TWA",33010009,53,0,3301,3,"NULL","oind9609.dat",4034,"N",1,33010009,3301,3,0,0,"1994-11-19",0,80,37,10,2,"7","NULL",3,2,1994,11,19,0,0,1,0,"baseline","highreef"
"386459",11687,130,2,"422394",422396,4030,"TWA",34030016,38,0,3403,3,"NULL","oind9609.dat",4030,"N",1,34030016,3403,3,0,0,"1995-01-02",74,72,76,11,3,"4","NULL",2,5,1995,1,2,1,0,3,2,"baseline","dropoff"
"386666",11691,130,2,"422601",422603,3346,"TWA",34030018,38,0,3403,3,"NULL","oind9609.dat",3346,"N",1,34030018,3403,3,0,0,"1995-04-14",79,79,68,14,4,"3","NULL",1,1,1995,4,14,1,0,3,2,"baseline","mixed"
"60",11692,130,0,"423081",423083,3346,"TWA",34030028,53,0,3403,3,"NULL","oind9609.dat",3346,"N",1,34030028,3403,3,0,0,"1995-04-14",78,78,72,16,4,"3","NULL",1,1,1995,4,14,0,0,1,0,"baseline","mixed"
"62",11969,130,0,"419993",419995,944,"TWA",34030002,53,0,3403,3,"NULL","oind9609.dat",944,"N",1,34030002,3403,3,0,0,"1995-02-13",70,70,58,16,2,"3","NULL",2,1,1995,2,13,0,0,1,0,"baseline","mixed"
"63",11971,130,0,"421928",421930,944,"TWA",34030013,53,0,3403,3,"NULL","oind9609.dat",944,"N",1,34030013,3403,3,0,0,"1995-02-13",70,70,57,15,3,"3","NULL",2,1,1995,2,13,0,0,1,0,"baseline","mixed"
"64",12289,130,0,"152757",152757,14,"TWA",34030008,53,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030008,3403,3,0,0,"1995-07-08",0,0,66,15,4,"3","NULL",2,1,1995,7,8,0,0,1,0,"34030008871995","mixed"
"141492",12290,130,2,"152730",152730,14,"TWA",34030008,38,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030008,3403,3,0,0,"1995-07-08",0,0,66,14,4,"5","NULL",2,1,1995,7,8,1,0,3,2,"34030008871995","mixed"
"142455",12292,130,2,"153693",153693,14,"TWA",34030023,38,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030023,3403,3,0,0,"1995-07-02",0,0,64,16,3,"3","NULL",2,1,1995,7,2,1,0,3,2,"baseline","mixed"
"65",12293,130,0,"423864",423866,14,"TWA",34030035,53,0,3403,3,"NULL","oind9609.dat",14,"N",1,34030035,3403,3,0,0,"1995-07-02",0,0,62,14,3,"3","NULL",2,1,1995,7,2,0,0,1,0,"baseline","mixed"
"66",12294,130,0,"100788",100788,14,"TWA",33010001,53,0,3301,3,"NULL","oind9510.dat",14,"N",1,33010001,3301,3,0,0,"1995-09-04",85,85,68,12,2,"2","NULL",2,2,1995,9,4,0,0,1,0,"baseline","highreef"
"67",12296,130,0,"423644",423646,14,"TWA",34030033,53,0,3403,3,"NULL","oind9609.dat",14,"N",1,34030033,3403,3,0,0,"1995-10-01",0,0,65,14,3,"5","NULL",2,1,1995,10,1,0,0,1,0,"baseline","mixed"
"68",12297,130,0,"153111",153111,14,"TWA",34030009,53,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030009,3403,3,0,0,"1995-09-17",82,82,60,16,3,"3","NULL",2,1,1995,9,17,0,0,1,0,"baseline","mixed"
"69",12299,130,0,"423927",423929,14,"TWA",34030035,53,0,3403,3,"NULL","oind9609.dat",14,"N",1,34030035,3403,3,0,0,"1995-08-12",0,0,66,16,3,"2","NULL",2,1,1995,8,12,0,0,1,0,"baseline","mixed"
"70",12300,130,0,"153720",153720,14,"TWA",34030023,53,0,3403,3,"NULL","oind9608.dat",14,"N",1,34030023,3403,3,0,0,"1995-07-03",0,0,70,10,3,"3","NULL",2,1,1995,7,3,0,0,1,0,"baseline","mixed"
"71",12330,130,0,"1041337",1041347,269,"TWA",34030026,53,0,3403,3,"NULL","oind9603.dat",269,"N",1,34030026,3403,3,0,0,"1995-11-19",77,76,25,14,6,"10","NULL",2,9,1995,11,19,0,0,1,0,"3403002619111995","mixed"
"72",12331,130,0,"1041367",1041377,4090,"TWA",34030026,53,0,3403,3,"NULL","oind9603.dat",4090,"N",1,34030026,3403,3,0,0,"1995-11-19",77,76,25,14,6,"10","NULL",2,9,1995,11,19,0,0,1,0,"3403002619111995","mixed"
