"","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","SPECIES_CD","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","DEPTH_CLASS","RUGOSITY_CLASS","NUM2"
"6270","004U",1999,5,3,1,24.99,-80.4153333,6.9,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",14,0.333,1,0,"FSLR","FLA KEYS",NA,NA,1
"6390","004U",1999,5,3,1,24.99,-80.4153333,6.9,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",17,0.333,1,0,"FSLR","FLA KEYS",NA,NA,1
"6406","004U",1999,5,3,3,24.99,-80.4153333,4.2,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",0,0,1,0,"FSLR","FLA KEYS",NA,NA,0
"6407","004U",1999,5,3,4,24.99,-80.4153333,4.7,8,7670070,"RUBB_LR",4,11,0,123,"LAC MAXI",0,0,1,0,"FSLR","FLA KEYS",NA,NA,0
"7790","005U",1999,5,3,2,25.0361667,-80.3508333,6.7,8,7790096,"SPGR_HR",4,11,5,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"7832","005U",1999,5,3,1,25.0361667,-80.3508333,8.1,8,7790096,"SPGR_HR",4,11,5,123,"LAC MAXI",28,0.333,1,1,"HRRF","FLA KEYS",NA,NA,1
"7965","005U",1999,5,3,1,25.0361667,-80.3508333,8.1,8,7790096,"SPGR_HR",4,11,5,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"8233","005U",1999,5,3,3,25.0361667,-80.3508333,7.9,8,7790096,"SPGR_HR",4,11,5,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"9203","006U",1999,5,4,1,25.012,-80.3766666,5.8,8,7741333,"RUBB_LR",4,11,6,123,"LAC MAXI",0,0,1,1,"FMLR","FLA KEYS",NA,NA,0
"9222","006U",1999,5,4,2,25.012,-80.3766666,6.4,8,7741333,"RUBB_LR",4,11,6,123,"LAC MAXI",0,0,1,1,"FMLR","FLA KEYS",NA,NA,0
"9354","006U",1999,5,4,3,25.012,-80.3766666,5.6,8,7741333,"RUBB_LR",4,11,6,123,"LAC MAXI",0,0,1,1,"FMLR","FLA KEYS",NA,NA,0
"9382","006U",1999,5,4,4,25.012,-80.3766666,6.3,8,7741333,"RUBB_LR",4,11,6,123,"LAC MAXI",0,0,1,1,"FMLR","FLA KEYS",NA,NA,0
"9573","006U",1999,5,4,4,25.012,-80.3766666,6.3,8,7741333,"RUBB_LR",4,11,6,123,"LAC MAXI",33,0.5,1,1,"FMLR","FLA KEYS",NA,NA,1
"9693","006U",1999,5,4,3,25.012,-80.3766666,5.6,8,7741333,"RUBB_LR",4,11,6,123,"LAC MAXI",27,0.333,1,1,"FMLR","FLA KEYS",NA,NA,1
"11637","007U",1999,5,4,1,25.1091667,-80.3059999,4.2,8,7872637,"SPGR_HR",3,11,4,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"11642","007U",1999,5,4,3,25.1091667,-80.3059999,2.9,8,7872637,"SPGR_HR",3,11,4,123,"LAC MAXI",45,0.5,1,1,"HRRF","FLA KEYS",NA,NA,1
"11759","007U",1999,5,4,2,25.1091667,-80.3059999,4,8,7872637,"SPGR_HR",3,11,4,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"11884","007U",1999,5,4,3,25.1091667,-80.3059999,2.9,8,7872637,"SPGR_HR",3,11,4,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"12976","008U",1999,5,11,1,25.5566667,-80.1033332,14,8,8251635,"ISOL_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"13068","008U",1999,5,11,3,25.5566667,-80.1033332,9.1,8,8251635,"ISOL_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"13099","008U",1999,5,11,1,25.5566667,-80.1033332,14,8,8251635,"ISOL_LR",4,12,0,123,"LAC MAXI",30,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"13221","008U",1999,5,11,2,25.5566667,-80.1033332,10.2,8,8251635,"ISOL_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"13473","008U",1999,5,11,2,25.5566667,-80.1033332,10.2,8,8251635,"ISOL_LR",4,12,0,123,"LAC MAXI",11,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"13841","008U",1999,5,11,4,25.5566667,-80.1033332,9,8,8251635,"ISOL_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"14729","009U",1999,5,11,1,25.5935,-80.0938332,10.7,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",14,0.75,1,0,"FMLR","FLA KEYS",NA,NA,1
"14891","009U",1999,5,11,1,25.5935,-80.0938332,10.7,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",12,0.75,1,0,"FMLR","FLA KEYS",NA,NA,1
"15547","009U",1999,5,11,3,25.5935,-80.0938332,6.9,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"15909","009U",1999,5,11,2,25.5935,-80.0938332,9.1,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"15910","009U",1999,5,11,2,25.5935,-80.0938332,9.1,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",12,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"15912","009U",1999,5,11,4,25.5935,-80.0938332,9.8,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"16153","009U",1999,5,11,5,25.5935,-80.0938332,7.5,8,8266655,"SPGR_LR",4,12,0,123,"LAC MAXI",30,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"17464","010U",1999,5,11,4,25.6266667,-80.0916666,9.6,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",9,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"17615","010U",1999,5,11,2,25.6266667,-80.0916666,8.8,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"17709","010U",1999,5,11,1,25.6266667,-80.0916666,9,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"17724","010U",1999,5,11,3,25.6266667,-80.0916666,9.4,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",11,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"17890","010U",1999,5,11,3,25.6266667,-80.0916666,9.4,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",16,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"17891","010U",1999,5,11,4,25.6266667,-80.0916666,9.6,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"18017","011U",1999,5,12,3,25.4816667,-80.1133332,9.6,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",34,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"18233","011U",1999,5,12,3,25.4816667,-80.1133332,9.6,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",30,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"18477","011U",1999,5,12,3,25.4816667,-80.1133332,9.6,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",26,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"18598","011U",1999,5,12,3,25.4816667,-80.1133332,9.6,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",25,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"18599","011U",1999,5,12,2,25.4816667,-80.1133332,9.8,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"18718","011U",1999,5,12,3,25.4816667,-80.1133332,9.6,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",20,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"18842","011U",1999,5,12,1,25.4816667,-80.1133332,11.3,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",20,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"18921","011U",1999,5,12,1,25.4816667,-80.1133332,11.3,8,8232843,"SPGR_LR",4,12,0,123,"LAC MAXI",22,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"19229","012U",1999,5,14,1,25.6266667,-80.0916666,9.3,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"19786","013U",1999,5,18,1,24.477577,-81.722855,16.8,8,5187287,"SPGR_LR",4,8,20,123,"LAC MAXI",0,0,1,1,"FMLR","FLA KEYS",NA,NA,0
"19851","013U",1999,5,18,2,24.477577,-81.722855,11.6,8,5187287,"SPGR_LR",4,8,20,123,"LAC MAXI",0,0,1,1,"FMLR","FLA KEYS",NA,NA,0
"20624","014U",1999,5,18,1,24.4361667,-81.9269999,15.9,8,4801015,"SPGR_LR",4,8,0,123,"LAC MAXI",-9,0.5,2,0,"FMLR","FLA KEYS",NA,NA,1
"20629","014U",1999,5,18,2,24.4361667,-81.9269999,16.2,8,4801015,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"20830","014U",1999,5,18,1,24.4361667,-81.9269999,15.9,8,4801015,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"21440","015U",1999,5,19,2,24.4355,-81.9401666,18.4,8,4774764,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"21764","015U",1999,5,19,1,24.4355,-81.9401666,17.7,8,4774764,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"21765","015U",1999,5,19,1,24.4355,-81.9401666,17.7,8,4774764,"SPGR_LR",4,8,0,123,"LAC MAXI",-9,0.5,2,0,"FMLR","FLA KEYS",NA,NA,1
"22102","016U",1999,5,19,2,24.4358334,-81.9401666,15.4,8,4774765,"SPGR_LR",4,8,0,123,"LAC MAXI",22,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"22415","016U",1999,5,19,1,24.4358334,-81.9401666,15.4,8,4774765,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"22614","016U",1999,5,19,2,24.4358334,-81.9401666,15.4,8,4774765,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"22655","016U",1999,5,19,1,24.4358334,-81.9401666,15.4,8,4774765,"SPGR_LR",4,8,0,123,"LAC MAXI",30,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"23223","017U",1999,5,20,2,24.4346667,-81.9438333,10.7,8,4767264,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"23267","017U",1999,5,19,1,24.4346667,-81.9438333,13.1,8,4767264,"SPGR_LR",4,8,0,123,"LAC MAXI",-9,0.5,2,0,"FMLR","FLA KEYS",NA,NA,1
"23305","017U",1999,5,19,1,24.4346667,-81.9438333,13.1,8,4767264,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"23943","018U",1999,5,20,2,24.4348334,-81.9503333,16.6,8,4756014,"SPGR_LR",4,8,0,123,"LAC MAXI",15,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"23999","018U",1999,5,20,2,24.4348334,-81.9503333,16.6,8,4756014,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"24157","018U",1999,5,20,1,24.4348334,-81.9503333,15.5,8,4756014,"SPGR_LR",4,8,0,123,"LAC MAXI",30,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"24318","018U",1999,5,20,1,24.4348334,-81.9503333,15.5,8,4756014,"SPGR_LR",4,8,0,123,"LAC MAXI",27,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"24417","018U",1999,5,20,1,24.4348334,-81.9503333,15.5,8,4756014,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"24425","018U",1999,5,20,1,24.4348334,-81.9503333,15.5,8,4756014,"SPGR_LR",4,8,0,123,"LAC MAXI",20,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"24750","019U",1999,5,20,1,24.4353333,-81.9528333,16.5,8,4752264,"SPGR_LR",4,8,0,123,"LAC MAXI",40,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"24805","019U",1999,5,20,2,24.4353333,-81.9528333,14.9,8,4752264,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"24972","019U",1999,5,20,1,24.4353333,-81.9528333,16.5,8,4752264,"SPGR_LR",4,8,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"25476","020U",1999,5,20,1,24.4446667,-81.9261666,15.9,8,4801019,"SPGR_HR",4,8,0,123,"LAC MAXI",40,1,1,0,"HRRF","FLA KEYS",NA,NA,1
"25790","021U",1999,6,4,2,25.2456667,-80.2118332,6.1,8,8048962,"ISOL_MR",3,11,0,123,"LAC MAXI",0,0,1,0,"OFPR","FLA KEYS",NA,NA,0
"25953","021U",1999,6,4,1,25.246,-80.2114999,7.3,8,8052713,"ISOL_MR",3,11,0,123,"LAC MAXI",15,1,1,0,"OFPR","FLA KEYS",NA,NA,1
"26719","022U",1999,6,4,2,25.2526667,-80.2156666,4.3,8,8041466,"CONT_LR",4,11,0,123,"LAC MAXI",0,0,1,0,"FSLR","FLA KEYS",NA,NA,0
"26774","022U",1999,6,4,1,25.254,-80.2168332,3.7,8,8041467,"CONT_LR",4,11,0,123,"LAC MAXI",19,1,1,0,"FSLR","FLA KEYS",NA,NA,1
"27454","023U",1999,6,9,2,25.6266667,-80.0916666,11.4,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"27480","023U",1999,6,9,1,25.6266667,-80.0916666,11.4,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",12,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"27557","023U",1999,6,9,1,25.6266667,-80.0916666,11.4,8,8270424,"SPGR_LR",4,12,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"28340","024U",1999,6,9,1,24.9045001,-80.6151666,2.1,8,7291273,"ISOL_MR",2,10,11,123,"LAC MAXI",0,0,1,1,"MCPR","FLA KEYS",NA,NA,0
"28420","024U",1999,6,9,2,24.9045001,-80.6151666,2.3,8,7291273,"ISOL_MR",2,10,11,123,"LAC MAXI",0,0,1,1,"MCPR","FLA KEYS",NA,NA,0
"29115","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",16,1.75,1,0,"FMLR","FLA KEYS",NA,NA,2
"29166","025U",1999,6,9,1,24.8573334,-80.6089999,5.9,8,7302497,"CONT_LR",4,10,0,123,"LAC MAXI",11,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"29185","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",15,0.125,1,0,"FMLR","FLA KEYS",NA,NA,1
"29216","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",16.5,0.125,1,0,"FMLR","FLA KEYS",NA,NA,1
"29254","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",14,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"29275","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",19,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"29286","025U",1999,6,9,1,24.8573334,-80.6089999,5.9,8,7302497,"CONT_LR",4,10,0,123,"LAC MAXI",13,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"29357","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",18,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"29495","025U",1999,6,9,2,24.8576667,-80.6108333,6.9,8,7298747,"CONT_LR",4,10,0,123,"LAC MAXI",17,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"30168","026U",1999,6,9,1,24.8508334,-80.6166666,4.6,8,7287493,"SPGR_HR",4,10,12,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"30416","026U",1999,6,9,2,24.8500001,-80.6168333,4.7,8,7287492,"SPGR_HR",4,10,12,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"31364","027U",1999,6,9,1,24.8471667,-80.6214999,5.2,8,7279991,"SPGR_HR",4,10,12,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"31559","027U",1999,6,9,2,24.8471667,-80.6214999,4.9,8,7279991,"SPGR_HR",4,10,12,123,"LAC MAXI",18,0.5,1,1,"HRRF","FLA KEYS",NA,NA,1
"31668","027U",1999,6,9,2,24.8471667,-80.6214999,4.9,8,7279991,"SPGR_HR",4,10,12,123,"LAC MAXI",0,0,1,1,"HRRF","FLA KEYS",NA,NA,0
"32161","028U",1999,6,9,2,24.8431667,-80.6306666,7.3,8,7261239,"CONT_LR",4,10,0,123,"LAC MAXI",16,0.75,1,0,"FMLR","FLA KEYS",NA,NA,1
"32338","028U",1999,6,9,2,24.8431667,-80.6306666,7.3,8,7261239,"CONT_LR",4,10,0,123,"LAC MAXI",18,0.75,1,0,"FMLR","FLA KEYS",NA,NA,1
"32395","028U",1999,6,9,1,24.8423333,-80.6321666,7.3,8,7257488,"CONT_LR",4,10,0,123,"LAC MAXI",15,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"32599","028U",1999,6,9,1,24.8423333,-80.6321666,7.3,8,7257488,"CONT_LR",4,10,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"33230","029U",1999,6,9,2,24.8965,-80.6164999,4,8,7287518,"ISOL_MR",2,10,0,123,"LAC MAXI",0,0,1,0,"MCPR","FLA KEYS",NA,NA,0
"33232","029U",1999,6,9,1,24.8961667,-80.6163333,4.1,8,7287518,"ISOL_MR",2,10,0,123,"LAC MAXI",0,0,1,0,"MCPR","FLA KEYS",NA,NA,0
"33312","029U",1999,6,9,1,24.8961667,-80.6163333,4.1,8,7287518,"ISOL_MR",2,10,0,123,"LAC MAXI",11,0.5,1,0,"MCPR","FLA KEYS",NA,NA,1
"34371","030U",1999,6,10,2,24.9335,-80.5501666,4.4,8,7415039,"ISOL_MR",2,10,10,123,"LAC MAXI",21,1,1,1,"MCPR","FLA KEYS",NA,NA,1
"34417","030U",1999,6,10,1,24.9343334,-80.5508333,5.6,8,7411289,"ISOL_MR",2,10,10,123,"LAC MAXI",0,0,1,1,"MCPR","FLA KEYS",NA,NA,0
"35168","031U",1999,6,10,2,24.94,-80.5473332,4.7,8,7418792,"ISOL_MR",2,10,0,123,"LAC MAXI",0,0,1,0,"MCPR","FLA KEYS",NA,NA,0
"35265","031U",1999,6,10,2,24.94,-80.5473332,4.7,8,7418792,"ISOL_MR",2,10,0,123,"LAC MAXI",-9,0.5,2,0,"MCPR","FLA KEYS",NA,NA,1
"35278","031U",1999,6,10,1,24.9396667,-80.5489999,4.7,8,7415042,"ISOL_MR",2,10,0,123,"LAC MAXI",0,0,1,0,"MCPR","FLA KEYS",NA,NA,0
"36075","032U",1999,6,10,1,24.9226667,-80.5054999,5.9,8,7497533,"SPGR_LR",4,10,9,123,"LAC MAXI",0,0,1,1,"FSLR","FLA KEYS",NA,NA,0
"36116","032U",1999,6,10,2,24.9226667,-80.5054999,5,8,7497533,"SPGR_LR",4,10,9,123,"LAC MAXI",-9,0,3,1,"FSLR","FLA KEYS",NA,NA,0
"36186","032U",1999,6,10,2,24.9226667,-80.5054999,5,8,7497533,"SPGR_LR",4,10,9,123,"LAC MAXI",0,0,1,1,"FSLR","FLA KEYS",NA,NA,0
"36240","032U",1999,6,10,1,24.9226667,-80.5054999,5.9,8,7497533,"SPGR_LR",4,10,9,123,"LAC MAXI",-9,0.5,2,1,"FSLR","FLA KEYS",NA,NA,1
"36973","033U",1999,6,10,1,24.9163334,-80.5111666,8.1,8,7486279,"SPGR_LR",4,10,0,123,"LAC MAXI",30,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37001","033U",1999,6,10,2,24.9166667,-80.5103332,8.1,8,7490030,"SPGR_LR",4,10,0,123,"LAC MAXI",15,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37011","033U",1999,6,10,1,24.9163334,-80.5111666,8.1,8,7486279,"SPGR_LR",4,10,0,123,"LAC MAXI",17,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37032","033U",1999,6,10,2,24.9166667,-80.5103332,8.1,8,7490030,"SPGR_LR",4,10,0,123,"LAC MAXI",20,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37069","033U",1999,6,10,1,24.9163334,-80.5111666,8.1,8,7486279,"SPGR_LR",4,10,0,123,"LAC MAXI",22,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37089","033U",1999,6,10,2,24.9166667,-80.5103332,8.1,8,7490030,"SPGR_LR",4,10,0,123,"LAC MAXI",17,1,1,0,"FMLR","FLA KEYS",NA,NA,1
"37143","033U",1999,6,10,1,24.9163334,-80.5111666,8.1,8,7486279,"SPGR_LR",4,10,0,123,"LAC MAXI",25,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37387","034U",1999,6,10,2,24.9283333,-80.5159999,9.6,8,7478786,"SPGR_LR",4,10,0,123,"LAC MAXI",15,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37506","034U",1999,6,10,2,24.9283333,-80.5159999,9.6,8,7478786,"SPGR_LR",4,10,0,123,"LAC MAXI",14,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37586","034U",1999,6,10,1,24.9118334,-80.5158332,12.2,8,7478777,"SPGR_LR",4,10,0,123,"LAC MAXI",17,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
"37666","034U",1999,6,10,2,24.9283333,-80.5159999,9.6,8,7478786,"SPGR_LR",4,10,0,123,"LAC MAXI",0,0,1,0,"FMLR","FLA KEYS",NA,NA,0
"37667","034U",1999,6,10,1,24.9118334,-80.5158332,12.2,8,7478777,"SPGR_LR",4,10,0,123,"LAC MAXI",18,0.5,1,0,"FMLR","FLA KEYS",NA,NA,1
